Image ID,Resolution Category,Size (KB),Time Taken (ms),TrialNum,Method,Filters
1,720p,183,91.30,1,JS,SobelFilter
1,720p,183,11.90,1,WASM,SobelFilter
1,720p,183,75.60,2,JS,SobelFilter
1,720p,183,9.30,2,WASM,SobelFilter
1,720p,183,84.20,3,JS,SobelFilter
1,720p,183,10.40,3,WASM,SobelFilter
1,720p,183,83.80,4,JS,SobelFilter
1,720p,183,11.40,4,WASM,SobelFilter
1,720p,183,90.50,5,JS,SobelFilter
1,720p,183,7.20,5,WASM,SobelFilter
1,720p,183,86.40,6,JS,SobelFilter
1,720p,183,7.70,6,WASM,SobelFilter
1,720p,183,76.30,7,JS,SobelFilter
1,720p,183,8.20,7,WASM,SobelFilter
1,720p,183,87.60,8,JS,SobelFilter
1,720p,183,6.70,8,WASM,SobelFilter
1,720p,183,79.00,9,JS,SobelFilter
1,720p,183,6.40,9,WASM,SobelFilter
1,720p,183,85.20,10,JS,SobelFilter
1,720p,183,6.80,10,WASM,SobelFilter
2,720p,198,79.20,1,JS,SobelFilter
2,720p,198,7.20,1,WASM,SobelFilter
2,720p,198,81.60,2,JS,SobelFilter
2,720p,198,8.90,2,WASM,SobelFilter
2,720p,198,83.50,3,JS,SobelFilter
2,720p,198,7.00,3,WASM,SobelFilter
2,720p,198,86.10,4,JS,SobelFilter
2,720p,198,7.90,4,WASM,SobelFilter
2,720p,198,88.60,5,JS,SobelFilter
2,720p,198,6.50,5,WASM,SobelFilter
2,720p,198,79.90,6,JS,SobelFilter
2,720p,198,7.60,6,WASM,SobelFilter
2,720p,198,82.70,7,JS,SobelFilter
2,720p,198,6.40,7,WASM,SobelFilter
2,720p,198,88.80,8,JS,SobelFilter
2,720p,198,8.80,8,WASM,SobelFilter
2,720p,198,83.40,9,JS,SobelFilter
2,720p,198,6.40,9,WASM,SobelFilter
2,720p,198,85.10,10,JS,SobelFilter
2,720p,198,6.70,10,WASM,SobelFilter
3,720p,210,90.80,1,JS,SobelFilter
3,720p,210,6.70,1,WASM,SobelFilter
3,720p,210,79.70,2,JS,SobelFilter
3,720p,210,6.30,2,WASM,SobelFilter
3,720p,210,76.90,3,JS,SobelFilter
3,720p,210,6.40,3,WASM,SobelFilter
3,720p,210,78.80,4,JS,SobelFilter
3,720p,210,12.30,4,WASM,SobelFilter
3,720p,210,85.90,5,JS,SobelFilter
3,720p,210,6.70,5,WASM,SobelFilter
3,720p,210,80.40,6,JS,SobelFilter
3,720p,210,6.90,6,WASM,SobelFilter
3,720p,210,78.00,7,JS,SobelFilter
3,720p,210,6.70,7,WASM,SobelFilter
3,720p,210,86.30,8,JS,SobelFilter
3,720p,210,7.20,8,WASM,SobelFilter
3,720p,210,82.40,9,JS,SobelFilter
3,720p,210,6.40,9,WASM,SobelFilter
3,720p,210,83.00,10,JS,SobelFilter
3,720p,210,6.70,10,WASM,SobelFilter
4,720p,130,78.80,1,JS,SobelFilter
4,720p,130,7.30,1,WASM,SobelFilter
4,720p,130,78.10,2,JS,SobelFilter
4,720p,130,6.70,2,WASM,SobelFilter
4,720p,130,92.00,3,JS,SobelFilter
4,720p,130,13.90,3,WASM,SobelFilter
4,720p,130,79.90,4,JS,SobelFilter
4,720p,130,6.40,4,WASM,SobelFilter
4,720p,130,96.60,5,JS,SobelFilter
4,720p,130,6.60,5,WASM,SobelFilter
4,720p,130,81.70,6,JS,SobelFilter
4,720p,130,9.10,6,WASM,SobelFilter
4,720p,130,80.00,7,JS,SobelFilter
4,720p,130,6.40,7,WASM,SobelFilter
4,720p,130,76.20,8,JS,SobelFilter
4,720p,130,6.50,8,WASM,SobelFilter
4,720p,130,86.70,9,JS,SobelFilter
4,720p,130,7.60,9,WASM,SobelFilter
4,720p,130,77.60,10,JS,SobelFilter
4,720p,130,6.90,10,WASM,SobelFilter
5,720p,147,80.70,1,JS,SobelFilter
5,720p,147,8.10,1,WASM,SobelFilter
5,720p,147,82.90,2,JS,SobelFilter
5,720p,147,7.60,2,WASM,SobelFilter
5,720p,147,76.10,3,JS,SobelFilter
5,720p,147,6.50,3,WASM,SobelFilter
5,720p,147,84.40,4,JS,SobelFilter
5,720p,147,6.80,4,WASM,SobelFilter
5,720p,147,79.10,5,JS,SobelFilter
5,720p,147,7.00,5,WASM,SobelFilter
5,720p,147,78.20,6,JS,SobelFilter
5,720p,147,7.50,6,WASM,SobelFilter
5,720p,147,84.80,7,JS,SobelFilter
5,720p,147,7.50,7,WASM,SobelFilter
5,720p,147,76.00,8,JS,SobelFilter
5,720p,147,8.20,8,WASM,SobelFilter
5,720p,147,89.60,9,JS,SobelFilter
5,720p,147,7.30,9,WASM,SobelFilter
5,720p,147,80.10,10,JS,SobelFilter
5,720p,147,7.10,10,WASM,SobelFilter
6,720p,198,80.70,1,JS,SobelFilter
6,720p,198,7.40,1,WASM,SobelFilter
6,720p,198,77.30,2,JS,SobelFilter
6,720p,198,6.80,2,WASM,SobelFilter
6,720p,198,87.60,3,JS,SobelFilter
6,720p,198,7.10,3,WASM,SobelFilter
6,720p,198,88.90,4,JS,SobelFilter
6,720p,198,7.70,4,WASM,SobelFilter
6,720p,198,89.40,5,JS,SobelFilter
6,720p,198,6.60,5,WASM,SobelFilter
6,720p,198,105.20,6,JS,SobelFilter
6,720p,198,7.00,6,WASM,SobelFilter
6,720p,198,77.60,7,JS,SobelFilter
6,720p,198,7.30,7,WASM,SobelFilter
6,720p,198,84.60,8,JS,SobelFilter
6,720p,198,6.70,8,WASM,SobelFilter
6,720p,198,92.00,9,JS,SobelFilter
6,720p,198,9.90,9,WASM,SobelFilter
6,720p,198,94.80,10,JS,SobelFilter
6,720p,198,10.00,10,WASM,SobelFilter
7,720p,142,94.80,1,JS,SobelFilter
7,720p,142,7.80,1,WASM,SobelFilter
7,720p,142,111.70,2,JS,SobelFilter
7,720p,142,7.70,2,WASM,SobelFilter
7,720p,142,86.70,3,JS,SobelFilter
7,720p,142,7.30,3,WASM,SobelFilter
7,720p,142,81.30,4,JS,SobelFilter
7,720p,142,6.80,4,WASM,SobelFilter
7,720p,142,87.10,5,JS,SobelFilter
7,720p,142,8.50,5,WASM,SobelFilter
7,720p,142,78.40,6,JS,SobelFilter
7,720p,142,7.30,6,WASM,SobelFilter
7,720p,142,85.60,7,JS,SobelFilter
7,720p,142,6.40,7,WASM,SobelFilter
7,720p,142,79.10,8,JS,SobelFilter
7,720p,142,6.70,8,WASM,SobelFilter
7,720p,142,78.90,9,JS,SobelFilter
7,720p,142,6.90,9,WASM,SobelFilter
7,720p,142,103.50,10,JS,SobelFilter
7,720p,142,14.20,10,WASM,SobelFilter
8,720p,151,77.40,1,JS,SobelFilter
8,720p,151,11.00,1,WASM,SobelFilter
8,720p,151,81.40,2,JS,SobelFilter
8,720p,151,7.40,2,WASM,SobelFilter
8,720p,151,80.50,3,JS,SobelFilter
8,720p,151,6.70,3,WASM,SobelFilter
8,720p,151,93.40,4,JS,SobelFilter
8,720p,151,7.80,4,WASM,SobelFilter
8,720p,151,78.80,5,JS,SobelFilter
8,720p,151,7.00,5,WASM,SobelFilter
8,720p,151,79.50,6,JS,SobelFilter
8,720p,151,7.00,6,WASM,SobelFilter
8,720p,151,82.20,7,JS,SobelFilter
8,720p,151,6.50,7,WASM,SobelFilter
8,720p,151,77.90,8,JS,SobelFilter
8,720p,151,6.70,8,WASM,SobelFilter
8,720p,151,79.60,9,JS,SobelFilter
8,720p,151,7.40,9,WASM,SobelFilter
8,720p,151,80.30,10,JS,SobelFilter
8,720p,151,6.40,10,WASM,SobelFilter
9,720p,154,84.70,1,JS,SobelFilter
9,720p,154,8.30,1,WASM,SobelFilter
9,720p,154,75.30,2,JS,SobelFilter
9,720p,154,6.80,2,WASM,SobelFilter
9,720p,154,84.70,3,JS,SobelFilter
9,720p,154,6.70,3,WASM,SobelFilter
9,720p,154,79.00,4,JS,SobelFilter
9,720p,154,6.20,4,WASM,SobelFilter
9,720p,154,88.60,5,JS,SobelFilter
9,720p,154,7.60,5,WASM,SobelFilter
9,720p,154,80.00,6,JS,SobelFilter
9,720p,154,7.20,6,WASM,SobelFilter
9,720p,154,79.50,7,JS,SobelFilter
9,720p,154,6.40,7,WASM,SobelFilter
9,720p,154,79.80,8,JS,SobelFilter
9,720p,154,7.70,8,WASM,SobelFilter
9,720p,154,88.80,9,JS,SobelFilter
9,720p,154,6.60,9,WASM,SobelFilter
9,720p,154,76.90,10,JS,SobelFilter
9,720p,154,6.90,10,WASM,SobelFilter
10,720p,179,76.80,1,JS,SobelFilter
10,720p,179,6.20,1,WASM,SobelFilter
10,720p,179,80.40,2,JS,SobelFilter
10,720p,179,7.20,2,WASM,SobelFilter
10,720p,179,87.80,3,JS,SobelFilter
10,720p,179,7.30,3,WASM,SobelFilter
10,720p,179,77.20,4,JS,SobelFilter
10,720p,179,13.10,4,WASM,SobelFilter
10,720p,179,87.80,5,JS,SobelFilter
10,720p,179,6.30,5,WASM,SobelFilter
10,720p,179,75.70,6,JS,SobelFilter
10,720p,179,7.70,6,WASM,SobelFilter
10,720p,179,83.60,7,JS,SobelFilter
10,720p,179,7.00,7,WASM,SobelFilter
10,720p,179,79.50,8,JS,SobelFilter
10,720p,179,7.40,8,WASM,SobelFilter
10,720p,179,81.10,9,JS,SobelFilter
10,720p,179,8.20,9,WASM,SobelFilter
10,720p,179,87.50,10,JS,SobelFilter
10,720p,179,6.50,10,WASM,SobelFilter
11,1080p,279,185.80,1,JS,SobelFilter
11,1080p,279,20.10,1,WASM,SobelFilter
11,1080p,279,173.00,2,JS,SobelFilter
11,1080p,279,15.40,2,WASM,SobelFilter
11,1080p,279,194.70,3,JS,SobelFilter
11,1080p,279,15.90,3,WASM,SobelFilter
11,1080p,279,171.90,4,JS,SobelFilter
11,1080p,279,16.50,4,WASM,SobelFilter
11,1080p,279,192.10,5,JS,SobelFilter
11,1080p,279,15.00,5,WASM,SobelFilter
11,1080p,279,173.50,6,JS,SobelFilter
11,1080p,279,16.90,6,WASM,SobelFilter
11,1080p,279,184.60,7,JS,SobelFilter
11,1080p,279,15.90,7,WASM,SobelFilter
11,1080p,279,170.40,8,JS,SobelFilter
11,1080p,279,15.90,8,WASM,SobelFilter
11,1080p,279,187.40,9,JS,SobelFilter
11,1080p,279,15.60,9,WASM,SobelFilter
11,1080p,279,182.40,10,JS,SobelFilter
11,1080p,279,16.40,10,WASM,SobelFilter
12,1080p,379,187.00,1,JS,SobelFilter
12,1080p,379,15.80,1,WASM,SobelFilter
12,1080p,379,175.20,2,JS,SobelFilter
12,1080p,379,16.60,2,WASM,SobelFilter
12,1080p,379,185.50,3,JS,SobelFilter
12,1080p,379,16.40,3,WASM,SobelFilter
12,1080p,379,172.80,4,JS,SobelFilter
12,1080p,379,16.20,4,WASM,SobelFilter
12,1080p,379,189.30,5,JS,SobelFilter
12,1080p,379,15.80,5,WASM,SobelFilter
12,1080p,379,175.80,6,JS,SobelFilter
12,1080p,379,15.50,6,WASM,SobelFilter
12,1080p,379,191.90,7,JS,SobelFilter
12,1080p,379,15.60,7,WASM,SobelFilter
12,1080p,379,174.60,8,JS,SobelFilter
12,1080p,379,15.20,8,WASM,SobelFilter
12,1080p,379,183.70,9,JS,SobelFilter
12,1080p,379,15.70,9,WASM,SobelFilter
12,1080p,379,173.20,10,JS,SobelFilter
12,1080p,379,15.80,10,WASM,SobelFilter
13,1080p,424,183.00,1,JS,SobelFilter
13,1080p,424,15.20,1,WASM,SobelFilter
13,1080p,424,178.90,2,JS,SobelFilter
13,1080p,424,18.20,2,WASM,SobelFilter
13,1080p,424,182.10,3,JS,SobelFilter
13,1080p,424,14.90,3,WASM,SobelFilter
13,1080p,424,175.40,4,JS,SobelFilter
13,1080p,424,17.80,4,WASM,SobelFilter
13,1080p,424,180.60,5,JS,SobelFilter
13,1080p,424,14.80,5,WASM,SobelFilter
13,1080p,424,183.20,6,JS,SobelFilter
13,1080p,424,16.80,6,WASM,SobelFilter
13,1080p,424,187.50,7,JS,SobelFilter
13,1080p,424,16.60,7,WASM,SobelFilter
13,1080p,424,175.50,8,JS,SobelFilter
13,1080p,424,15.60,8,WASM,SobelFilter
13,1080p,424,193.70,9,JS,SobelFilter
13,1080p,424,16.80,9,WASM,SobelFilter
13,1080p,424,196.20,10,JS,SobelFilter
13,1080p,424,17.40,10,WASM,SobelFilter
14,1080p,329,203.10,1,JS,SobelFilter
14,1080p,329,16.90,1,WASM,SobelFilter
14,1080p,329,188.20,2,JS,SobelFilter
14,1080p,329,16.70,2,WASM,SobelFilter
14,1080p,329,203.50,3,JS,SobelFilter
14,1080p,329,17.80,3,WASM,SobelFilter
14,1080p,329,195.60,4,JS,SobelFilter
14,1080p,329,20.20,4,WASM,SobelFilter
14,1080p,329,204.60,5,JS,SobelFilter
14,1080p,329,21.90,5,WASM,SobelFilter
14,1080p,329,191.20,6,JS,SobelFilter
14,1080p,329,16.40,6,WASM,SobelFilter
14,1080p,329,198.10,7,JS,SobelFilter
14,1080p,329,16.40,7,WASM,SobelFilter
14,1080p,329,190.60,8,JS,SobelFilter
14,1080p,329,16.60,8,WASM,SobelFilter
14,1080p,329,195.70,9,JS,SobelFilter
14,1080p,329,20.60,9,WASM,SobelFilter
14,1080p,329,195.70,10,JS,SobelFilter
14,1080p,329,16.20,10,WASM,SobelFilter
15,1080p,322,193.20,1,JS,SobelFilter
15,1080p,322,16.00,1,WASM,SobelFilter
15,1080p,322,205.80,2,JS,SobelFilter
15,1080p,322,17.30,2,WASM,SobelFilter
15,1080p,322,202.40,3,JS,SobelFilter
15,1080p,322,16.50,3,WASM,SobelFilter
15,1080p,322,200.40,4,JS,SobelFilter
15,1080p,322,17.10,4,WASM,SobelFilter
15,1080p,322,203.60,5,JS,SobelFilter
15,1080p,322,17.30,5,WASM,SobelFilter
15,1080p,322,203.70,6,JS,SobelFilter
15,1080p,322,16.70,6,WASM,SobelFilter
15,1080p,322,203.30,7,JS,SobelFilter
15,1080p,322,16.20,7,WASM,SobelFilter
15,1080p,322,194.60,8,JS,SobelFilter
15,1080p,322,21.50,8,WASM,SobelFilter
15,1080p,322,199.60,9,JS,SobelFilter
15,1080p,322,16.40,9,WASM,SobelFilter
15,1080p,322,204.50,10,JS,SobelFilter
15,1080p,322,16.70,10,WASM,SobelFilter
16,1080p,440,192.60,1,JS,SobelFilter
16,1080p,440,16.10,1,WASM,SobelFilter
16,1080p,440,204.40,2,JS,SobelFilter
16,1080p,440,16.40,2,WASM,SobelFilter
16,1080p,440,197.30,3,JS,SobelFilter
16,1080p,440,17.40,3,WASM,SobelFilter
16,1080p,440,210.50,4,JS,SobelFilter
16,1080p,440,16.90,4,WASM,SobelFilter
16,1080p,440,193.50,5,JS,SobelFilter
16,1080p,440,17.00,5,WASM,SobelFilter
16,1080p,440,206.40,6,JS,SobelFilter
16,1080p,440,16.20,6,WASM,SobelFilter
16,1080p,440,194.10,7,JS,SobelFilter
16,1080p,440,16.50,7,WASM,SobelFilter
16,1080p,440,216.50,8,JS,SobelFilter
16,1080p,440,16.40,8,WASM,SobelFilter
16,1080p,440,193.30,9,JS,SobelFilter
16,1080p,440,16.20,9,WASM,SobelFilter
16,1080p,440,206.00,10,JS,SobelFilter
16,1080p,440,17.00,10,WASM,SobelFilter
17,1080p,409,196.50,1,JS,SobelFilter
17,1080p,409,16.70,1,WASM,SobelFilter
17,1080p,409,212.60,2,JS,SobelFilter
17,1080p,409,16.80,2,WASM,SobelFilter
17,1080p,409,190.50,3,JS,SobelFilter
17,1080p,409,16.30,3,WASM,SobelFilter
17,1080p,409,206.90,4,JS,SobelFilter
17,1080p,409,16.80,4,WASM,SobelFilter
17,1080p,409,191.10,5,JS,SobelFilter
17,1080p,409,17.00,5,WASM,SobelFilter
17,1080p,409,213.50,6,JS,SobelFilter
17,1080p,409,16.70,6,WASM,SobelFilter
17,1080p,409,193.70,7,JS,SobelFilter
17,1080p,409,16.40,7,WASM,SobelFilter
17,1080p,409,208.10,8,JS,SobelFilter
17,1080p,409,16.90,8,WASM,SobelFilter
17,1080p,409,193.50,9,JS,SobelFilter
17,1080p,409,16.40,9,WASM,SobelFilter
17,1080p,409,211.90,10,JS,SobelFilter
17,1080p,409,19.70,10,WASM,SobelFilter
18,1080p,337,184.50,1,JS,SobelFilter
18,1080p,337,16.30,1,WASM,SobelFilter
18,1080p,337,201.40,2,JS,SobelFilter
18,1080p,337,16.60,2,WASM,SobelFilter
18,1080p,337,188.00,3,JS,SobelFilter
18,1080p,337,17.60,3,WASM,SobelFilter
18,1080p,337,222.80,4,JS,SobelFilter
18,1080p,337,16.90,4,WASM,SobelFilter
18,1080p,337,191.90,5,JS,SobelFilter
18,1080p,337,16.60,5,WASM,SobelFilter
18,1080p,337,200.70,6,JS,SobelFilter
18,1080p,337,19.50,6,WASM,SobelFilter
18,1080p,337,190.20,7,JS,SobelFilter
18,1080p,337,15.90,7,WASM,SobelFilter
18,1080p,337,198.90,8,JS,SobelFilter
18,1080p,337,21.20,8,WASM,SobelFilter
18,1080p,337,188.50,9,JS,SobelFilter
18,1080p,337,16.30,9,WASM,SobelFilter
18,1080p,337,199.00,10,JS,SobelFilter
18,1080p,337,16.70,10,WASM,SobelFilter
19,1080p,338,189.90,1,JS,SobelFilter
19,1080p,338,17.20,1,WASM,SobelFilter
19,1080p,338,209.40,2,JS,SobelFilter
19,1080p,338,16.70,2,WASM,SobelFilter
19,1080p,338,191.50,3,JS,SobelFilter
19,1080p,338,16.10,3,WASM,SobelFilter
19,1080p,338,204.40,4,JS,SobelFilter
19,1080p,338,17.10,4,WASM,SobelFilter
19,1080p,338,192.00,5,JS,SobelFilter
19,1080p,338,16.70,5,WASM,SobelFilter
19,1080p,338,192.40,6,JS,SobelFilter
19,1080p,338,16.00,6,WASM,SobelFilter
19,1080p,338,200.80,7,JS,SobelFilter
19,1080p,338,16.30,7,WASM,SobelFilter
19,1080p,338,199.20,8,JS,SobelFilter
19,1080p,338,16.40,8,WASM,SobelFilter
19,1080p,338,206.40,9,JS,SobelFilter
19,1080p,338,22.30,9,WASM,SobelFilter
19,1080p,338,206.10,10,JS,SobelFilter
19,1080p,338,17.10,10,WASM,SobelFilter
20,1080p,381,201.20,1,JS,SobelFilter
20,1080p,381,16.30,1,WASM,SobelFilter
20,1080p,381,188.10,2,JS,SobelFilter
20,1080p,381,17.00,2,WASM,SobelFilter
20,1080p,381,201.30,3,JS,SobelFilter
20,1080p,381,16.70,3,WASM,SobelFilter
20,1080p,381,198.40,4,JS,SobelFilter
20,1080p,381,16.30,4,WASM,SobelFilter
20,1080p,381,201.10,5,JS,SobelFilter
20,1080p,381,16.30,5,WASM,SobelFilter
20,1080p,381,198.30,6,JS,SobelFilter
20,1080p,381,16.10,6,WASM,SobelFilter
20,1080p,381,205.10,7,JS,SobelFilter
20,1080p,381,16.50,7,WASM,SobelFilter
20,1080p,381,200.90,8,JS,SobelFilter
20,1080p,381,17.90,8,WASM,SobelFilter
20,1080p,381,203.20,9,JS,SobelFilter
20,1080p,381,21.10,9,WASM,SobelFilter
20,1080p,381,191.80,10,JS,SobelFilter
20,1080p,381,16.60,10,WASM,SobelFilter
21,2K,475,344.40,1,JS,SobelFilter
21,2K,475,33.50,1,WASM,SobelFilter
21,2K,475,329.60,2,JS,SobelFilter
21,2K,475,27.80,2,WASM,SobelFilter
21,2K,475,339.10,3,JS,SobelFilter
21,2K,475,28.60,3,WASM,SobelFilter
21,2K,475,342.20,4,JS,SobelFilter
21,2K,475,28.50,4,WASM,SobelFilter
21,2K,475,341.50,5,JS,SobelFilter
21,2K,475,32.20,5,WASM,SobelFilter
21,2K,475,334.60,6,JS,SobelFilter
21,2K,475,28.90,6,WASM,SobelFilter
21,2K,475,330.30,7,JS,SobelFilter
21,2K,475,29.40,7,WASM,SobelFilter
21,2K,475,338.80,8,JS,SobelFilter
21,2K,475,29.50,8,WASM,SobelFilter
21,2K,475,334.80,9,JS,SobelFilter
21,2K,475,33.90,9,WASM,SobelFilter
21,2K,475,344.30,10,JS,SobelFilter
21,2K,475,30.00,10,WASM,SobelFilter
22,2K,631,334.10,1,JS,SobelFilter
22,2K,631,28.20,1,WASM,SobelFilter
22,2K,631,346.70,2,JS,SobelFilter
22,2K,631,28.90,2,WASM,SobelFilter
22,2K,631,330.50,3,JS,SobelFilter
22,2K,631,28.10,3,WASM,SobelFilter
22,2K,631,336.80,4,JS,SobelFilter
22,2K,631,35.90,4,WASM,SobelFilter
22,2K,631,336.80,5,JS,SobelFilter
22,2K,631,28.60,5,WASM,SobelFilter
22,2K,631,339.40,6,JS,SobelFilter
22,2K,631,29.90,6,WASM,SobelFilter
22,2K,631,339.70,7,JS,SobelFilter
22,2K,631,27.50,7,WASM,SobelFilter
22,2K,631,340.90,8,JS,SobelFilter
22,2K,631,28.70,8,WASM,SobelFilter
22,2K,631,346.50,9,JS,SobelFilter
22,2K,631,28.50,9,WASM,SobelFilter
22,2K,631,336.80,10,JS,SobelFilter
22,2K,631,29.70,10,WASM,SobelFilter
23,2K,580,351.10,1,JS,SobelFilter
23,2K,580,31.00,1,WASM,SobelFilter
23,2K,580,331.70,2,JS,SobelFilter
23,2K,580,27.60,2,WASM,SobelFilter
23,2K,580,332.00,3,JS,SobelFilter
23,2K,580,28.30,3,WASM,SobelFilter
23,2K,580,338.50,4,JS,SobelFilter
23,2K,580,28.40,4,WASM,SobelFilter
23,2K,580,324.80,5,JS,SobelFilter
23,2K,580,28.60,5,WASM,SobelFilter
23,2K,580,339.20,6,JS,SobelFilter
23,2K,580,31.80,6,WASM,SobelFilter
23,2K,580,331.70,7,JS,SobelFilter
23,2K,580,28.50,7,WASM,SobelFilter
23,2K,580,329.90,8,JS,SobelFilter
23,2K,580,28.50,8,WASM,SobelFilter
23,2K,580,329.50,9,JS,SobelFilter
23,2K,580,30.60,9,WASM,SobelFilter
23,2K,580,332.60,10,JS,SobelFilter
23,2K,580,27.70,10,WASM,SobelFilter
24,2K,579,346.70,1,JS,SobelFilter
24,2K,579,35.10,1,WASM,SobelFilter
24,2K,579,344.30,2,JS,SobelFilter
24,2K,579,29.00,2,WASM,SobelFilter
24,2K,579,339.40,3,JS,SobelFilter
24,2K,579,29.20,3,WASM,SobelFilter
24,2K,579,338.80,4,JS,SobelFilter
24,2K,579,28.00,4,WASM,SobelFilter
24,2K,579,340.00,5,JS,SobelFilter
24,2K,579,29.70,5,WASM,SobelFilter
24,2K,579,336.40,6,JS,SobelFilter
24,2K,579,28.60,6,WASM,SobelFilter
24,2K,579,334.20,7,JS,SobelFilter
24,2K,579,28.80,7,WASM,SobelFilter
24,2K,579,331.60,8,JS,SobelFilter
24,2K,579,28.30,8,WASM,SobelFilter
24,2K,579,341.40,9,JS,SobelFilter
24,2K,579,30.10,9,WASM,SobelFilter
24,2K,579,336.20,10,JS,SobelFilter
24,2K,579,28.60,10,WASM,SobelFilter
25,2K,603,337.70,1,JS,SobelFilter
25,2K,603,29.20,1,WASM,SobelFilter
25,2K,603,336.30,2,JS,SobelFilter
25,2K,603,31.00,2,WASM,SobelFilter
25,2K,603,336.40,3,JS,SobelFilter
25,2K,603,30.60,3,WASM,SobelFilter
25,2K,603,342.60,4,JS,SobelFilter
25,2K,603,29.80,4,WASM,SobelFilter
25,2K,603,346.60,5,JS,SobelFilter
25,2K,603,29.10,5,WASM,SobelFilter
25,2K,603,338.10,6,JS,SobelFilter
25,2K,603,30.00,6,WASM,SobelFilter
25,2K,603,342.80,7,JS,SobelFilter
25,2K,603,28.40,7,WASM,SobelFilter
25,2K,603,338.10,8,JS,SobelFilter
25,2K,603,30.30,8,WASM,SobelFilter
25,2K,603,412.80,9,JS,SobelFilter
25,2K,603,37.30,9,WASM,SobelFilter
25,2K,603,472.70,10,JS,SobelFilter
25,2K,603,46.70,10,WASM,SobelFilter
26,2K,590,511.90,1,JS,SobelFilter
